sample_id,ticker,llm_expected_stance,llm_expected_alpha_id,llm_counter_alpha_id,llm_should_be_admissible,llm_too_generic,llm_ticker_specific,llm_duplicate,llm_confidence,llm_reason,review_source,llm_stance_confidence,llm_stance_reason,llm_stance_source
evrs-015,QQQ,supports_alpha,A304,,yes,False,True,False,high,"The evidence explicitly flags valuation risk ('priced for perfection') and references specific analyst disagreement plus Michael Burry's downside bets on Nvidia and Micron, substantively engaging A304 (Multiple Compression) for QQQ with specific named actors and data points.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-016,QQQ,supports_alpha,A103,,yes,False,False,False,medium,"The evidence cites Microsoft's cloud quarter as a catalyst reinforcing the AI infrastructure spending boom narrative, directly engaging A103; however, the link to QQQ specifically is indirect — it applies broadly to AI-exposed equities rather than QQQ distinctively.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-017,QQQ,supports_alpha,A304,,conditional,True,False,False,medium,"The evidence names both valuation risk and recession risk as primary concerns for QQQ but provides no specific data points or quantification, making it generic boilerplate that could apply to any growth-heavy index fund without QQQ-specific substance.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-018,SNDK,opposes_alpha,A501,,yes,False,False,False,medium,"The evidence provides a specific recession probability figure (12% by end of 2026) as a rebuttal to A501 (Recession Risk) with a mildly positive signal for SNDK's demand environment, though the link to SNDK specifically is generic rather than company-specific.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-019,TSM,supports_alpha,A304,,conditional,True,False,False,medium,"The claim directly asserts A304 (Multiple Compression) risk for TSM, but the evidence text is a bare assertion with no supporting data, metrics, or TSM-specific context, making it too generic and unsubstantiated to be reliably decision-relevant.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-020,TSM,supports_alpha,A304,,yes,False,True,False,medium,"The evidence references a specific 335% price run for TSM as the basis for valuation risk concern while noting sources consider it reasonable, substantively engaging A304 (Multiple Compression) with a TSM-specific quantitative anchor.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-021,AMD,opposes_alpha,A001,,yes,False,True,False,high,"The evidence directly engages with the Rate Cut Cycle alpha by citing specific probability data (89% no-cut probability, 19-year-high yields) and explicitly links the hawkish rate environment as a negative headwind for AMD as a high-multiple growth stock, substantively opposing A001's bullish thesis.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-022,NVDA,supports_alpha,A101,,yes,False,True,False,high,"The evidence substantively engages with AI Expansion by citing accelerating AI capex from major hyperscalers as confirmation of demand growth for NVDA, while also noting a notable short position against NVDA specifically, making it directly relevant to the AI Expansion alpha for this ticker.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-023,QQQ,supports_alpha,A103,,conditional,True,False,True,medium,"The evidence is a high-level summary of multiple alphas (AI CapEx, semiconductor cycle, rate cuts, liquidity) applied to QQQ as an ETF rather than a specific company, making it too generic and not ticker-specific in a meaningful way; it reads as boilerplate thematic framing rather than substantive evidence for any single alpha.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-024,NVDA,supports_alpha,A304,,yes,False,True,False,high,"The evidence directly and specifically asserts that a slowdown in AI spending would trigger multiple compression for NVDA, substantively engaging with the Multiple Compression alpha's core thesis that rich valuations create downside risk.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-025,MSFT,supports_alpha,A304,,no,True,False,False,medium,"The evidence is a decontextualized conditional fragment ('If it doesn't, multiple compression is likely regardless of the technical setup') with no substantive claim about what condition is being referenced or why MSFT specifically faces multiple compression risk, making it too vague and context-poor to be decision-relevant.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-026,AMD,supports_alpha,A304,,conditional,True,True,True,medium,"While the evidence mentions AMD specifically and references the tension between AI growth narrative and rich valuation ahead of earnings, it is a high-level characterization without specific data or substantive detail, making it borderline generic framing rather than actionable evidence for Multiple Compression.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-027,SNDK,opposes_alpha,A304,,yes,False,True,False,high,"The evidence explicitly rebuts the Multiple Compression alpha by arguing it proves too much as a sector-wide argument and distinguishes SNDK on the basis of its specific fundamental earnings generation, making it a substantive, ticker-specific rebuttal of A304.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-028,TSM,supports_alpha,A501,,yes,False,True,True,medium,"The evidence engages with Recession Risk by citing semiconductor cyclicality and the risk that an AI demand downturn or broader economic slowdown could compress TSM's earnings, substantively supporting the bearish A501 thesis for this specific semiconductor company.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-029,AMD,mentions_alpha,A304,,conditional,True,True,True,medium,"Identical to evrs-026 — the evidence names AMD and references rich valuation vs. AI growth narrative tension ahead of earnings, but lacks specific data or substantive detail, remaining a high-level characterization that is borderline generic for Multiple Compression.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-030,QQQ,supports_alpha,A103,,conditional,True,False,True,medium,"Identical to evrs-023 — this is a multi-alpha thematic summary applied to QQQ as an ETF, too generic and not substantively specific to any single alpha or to QQQ as a distinct ticker rather than a broad market proxy.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-031,AMD,supports_alpha,A101,,yes,False,True,False,high,"The evidence directly references AMD's 34% revenue growth in 2025 alongside hyperscaler AI CapEx plans, substantively supporting the AI Expansion thesis as it applies to AMD's accelerator demand. The combination of specific figures (AMD revenue growth, $750B CapEx) makes this ticker-specific and decision-relevant.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-032,MSFT,opposes_alpha,A501,,conditional,True,False,False,medium,"The evidence is a bare macro probability estimate (12% recession risk) with no substantive link to MSFT specifically; it is generic market commentary that could apply to any equity. While it engages with recession risk (A501), it lacks any MSFT-specific content and is too sparse to be decision-relevant on its own.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-033,MSFT,supports_alpha,A304,,yes,False,True,False,high,"The evidence explicitly asserts that after a 15% single-day jump MSFT is 'priced for perfection' with downside risk from profit-taking, directly and substantively engaging the Multiple Compression alpha's core thesis of rich valuation creating downside risk.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-034,MSFT,supports_alpha,A301,,yes,False,True,False,high,"The evidence specifically addresses Microsoft's near-term FCF compression versus long-term AI/cloud revenue growth positioning, which substantively engages the Revenue Expansion alpha by framing the investment as a driver of future revenue growth for MSFT.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-035,NVDA,opposes_alpha,A304,,yes,False,True,True,high,"The evidence explicitly concludes that the macro backdrop 'leaves NVDA exposed to multiple-compression risk given its premium valuation,' directly and substantively engaging the Multiple Compression alpha's core thesis as applied to NVDA specifically.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-036,AMD,mentions_alpha,A304,,yes,False,True,False,high,"The evidence is a direct rebuttal of the Multiple Compression alpha for AMD, arguing that the 'priced for perfection' bear narrative ignores fundamental business improvement — this substantively engages A304 as a counter-argument, which is legitimate bear/bull evidence for that alpha.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-037,AMD,supports_alpha,A304,,yes,False,True,False,high,"The evidence cites AMD's specific TTM P/E of 162x and explicitly warns of multiple compression risk if AI demand slows, directly and substantively supporting the Multiple Compression alpha with a ticker-specific valuation metric.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-038,NVDA,supports_alpha,A304,,yes,False,True,True,high,"Identical in substance to evrs-035, this evidence explicitly concludes NVDA is exposed to multiple-compression risk given its premium valuation, directly engaging A304's core thesis with NVDA-specific framing.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-039,TSM,opposes_alpha,A301,,yes,False,True,True,medium,"The evidence directly threatens TSM's revenue growth narrative by raising the risk of Apple dual-sourcing, which substantively engages the Revenue Expansion alpha (A301) as a bear-side challenge to TSM's revenue guidance and repricing potential. Confidence is medium because the claim is conditional/hypothetical.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-040,NVDA,supports_alpha,A601,,yes,False,True,False,medium,"The evidence describes NVDA's situation in terms of narrative momentum (intact AI demand narrative, CEO defending the growth thesis) versus macro/valuation sensitivity driving a selloff, which most directly engages the Narrative Momentum alpha's thesis about crowded narratives and reflexive flows — though it also touches A304, the framing centers on narrative dynamics.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-041,MSFT,opposes_alpha,A304,,conditional,False,True,False,medium,"The evidence summarizes both bull (strong fundamentals) and bear (overbought technicals, no rate cuts) cases for MSFT, with the bear case centering on valuation/technical overextension — most directly engaging A304 (Multiple Compression). However, it is a meta-summary of a debate rather than a discrete, actionable evidence item, making admissibility conditional on whether the system accepts debate summaries as evidence.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-042,MSFT,opposes_alpha,A304,,yes,False,True,False,high,"The evidence directly argues that depreciation headwinds or AI revenue deceleration would compress MSFT's forward EPS, causing the current 'cheap' 20x P/E to become an expensive 25x+ P/E — a specific, ticker-level multiple compression thesis squarely within A304.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-043,NVDA,opposes_alpha,A201,,yes,False,True,False,high,"The evidence flags specific NVDA balance sheet metrics (inventory $25.80B, receivables $40.71B) as potential caution signals if inventory outpaces revenue growth, directly engaging the semiconductor supply/demand cycle thesis of A201 (Semiconductor Supercycle) with ticker-specific figures.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-044,NVDA,supports_alpha,A103,,yes,False,False,False,medium,"The evidence argues that Microsoft's AI investment translating into Azure growth validates ROI of AI infrastructure capex, directly supporting A103 (AI Infrastructure) by affirming the sustainability of the datacenter/infrastructure buildout cycle; however, it references MSFT rather than NVDA (the ticker context), making ticker-specificity weak.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-045,SNDK,supports_counter_alpha,A304,A304,conditional,False,True,False,low,"The evidence asserts a headwind to SNDK's premium multiple tied to its AI supercycle narrative, engaging A304 (Multiple Compression), but the claim is extremely brief and lacks substantive supporting detail, making admissibility conditional on whether the surrounding context provides the missing specifics.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-046,QQQ,supports_alpha,A304,,yes,False,True,True,medium,"The evidence makes a specific claim about QQQ's stretched index-level valuation and the risk that a single top-weighted constituent earnings miss could trigger multiple compression, directly engaging A304; QQQ as an index ETF makes this ticker-specific in the sense that it applies to the index's valuation structure specifically.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-047,TSM,opposes_alpha,A301,,yes,False,True,True,high,"The evidence argues that Apple dual-sourcing would directly threaten TSM's revenue growth narrative, substantively engaging A301 (Revenue Expansion) as a bear-side rebuttal — a specific, ticker-level claim about concentration risk to TSM's top customer relationship.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-048,MSFT,opposes_alpha,A501,,yes,False,False,False,medium,"The evidence directly rebuts A501 (Recession Risk) by citing a low 12% recession probability as supporting continued risk appetite in growth names like MSFT; while the logic is sound and specific, the claim is generic enough to apply to any growth equity rather than MSFT specifically.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-049,AMD,mentions_alpha,A601,,yes,False,True,False,medium,"The evidence describes a divergence between institutional positioning (leaning into AI growth narrative) and retail wariness (earnings risk, rich valuation) for AMD, directly engaging A601 (Narrative Momentum) by highlighting crowded institutional flows driven by the AI story against valuation concerns.",independent_llm_provisional,medium,,j3_provisional_semantic_benchmark_v0.1_reused
evrs-050,QQQ,supports_alpha,A304,,conditional,True,False,True,medium,"The evidence is a generic, boilerplate statement about earnings disappointment triggering multiple compression for QQQ constituents — it lacks any specific constituent, valuation metric, or concrete detail, making it too generic to reliably support a specific Alpha-relative claim beyond restating the A304 thesis abstractly.",independent_llm_provisional,high,,j3_provisional_semantic_benchmark_v0.1_reused
