candidate_id,ticker,run_id,agent,claim_id,claim_index,claim_text,direction,assertion_status,relation_phrase,left_endpoint_text,right_endpoint_text,left_current_factor,right_current_factor,current_rejection_reason,proposed_source_factor,proposed_relation,proposed_target_factor,candidate_label,label_reason,proposed_code_change,evidence_count,discovery_or_validation_set
missed-010,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,conservative_risk_analyst,0ba23540-0623-4d05-a670-098fbbfec1d1:conservative_risk_analyst:risk_debate_state.conservative_history:claim:223,222,"If Meta reports Wednesday, Amazon reports Thursday, and both signal digestion periods in AI infrastructure spending, you could have two consecutive sessions of 3 to 4% selling that cumulatively push MU from $939 to the $860 to $870 range by Thursday's close.",negative,n/a,if,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-011,MU,0ba23540-0623-4d05-a670-098fbbfec1d1,neutral_risk_analyst,0ba23540-0623-4d05-a670-098fbbfec1d1:neutral_risk_analyst:risk_debate_state.neutral_history:claim:131,130,"You let Meta, Amazon, and Microsoft speak, and you listen to what they say about the specific trajectory of AI infrastructure spending, not just the headline capex number but the commentary about pace, timing, and memory intensity of their workloads.",neutral,n/a,but,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-012,NVDA,4ca7dafa-6ac1-4d94-add0-f6f93b1af150,news_agent,4ca7dafa-6ac1-4d94-add0-f6f93b1af150:news_agent:news_report:claim:86,85,"Meta Q2 earnings (July 29) is a key catalyst: If Meta confirms strong AI capex and hyperscaler GPU demand in its report, this could be the near-term bullish catalyst needed to stabilize NVDA's sell-off.",positive,n/a,if,AI CapEx,GPU Demand,AI CapEx,GPU Demand,CONDITIONAL_ONLY,AI CapEx,if,GPU Demand,AMBIGUOUS_REQUIRES_REVIEW,"A real if/then conditional structure is present, but it starts a *later* clause (after an unrelated lead-in like 'Meta Q2 earnings ... is a key catalyst:'), not the first clause of the whole claim -- the CONDITIONAL rule family only anchors to clauses[0]. Single occurrence in this corpus; needs more examples before any generalization can be trusted (see promotion threshold in the report).",NONE -- does not meet promotion threshold (see report),1,validation
missed-013,NVDA,4ca7dafa-6ac1-4d94-add0-f6f93b1af150,research_manager,4ca7dafa-6ac1-4d94-add0-f6f93b1af150:research_manager:investment_plan:claim:8,7,"The bull's rebuttal that enterprise AI demand is far stickier than consumer GPU demand is correct, but doesn't fully eliminate tail risk from lumpy deployment schedules.",negative,n/a,but,AI Demand,GPU Demand,AI Demand,GPU Demand,CONFLICT_SCOPE_FAILURE,N/A,N/A,N/A,CORRECTLY_REJECTED,"Contrast word present but the two factors are meta-commentary about a debate position ('the bull's rebuttal ... is correct, but ...'), not a risk/growth pair in actual conflict -- match_conflicting correctly requires one RISK_FACTORS member and one GROWTH_FACTORS member, which this sentence does not have.",NONE -- does not meet promotion threshold (see report),1,validation
missed-014,NVDA,4ca7dafa-6ac1-4d94-add0-f6f93b1af150,aggressive_risk_analyst,4ca7dafa-6ac1-4d94-add0-f6f93b1af150:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:126,125,"If rates are staying high because the economy is strong enough to absorb them, that is also the environment where enterprise AI capex continues, because the hyperscalers are profitable and growing.",positive,n/a,if,AI CapEx,Inference Demand,AI CapEx,Inference Demand,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-015,NVDA,4ca7dafa-6ac1-4d94-add0-f6f93b1af150,conservative_risk_analyst,4ca7dafa-6ac1-4d94-add0-f6f93b1af150:conservative_risk_analyst:risk_debate_state.conservative_history:claim:199,198,"If Zuckerberg uses the July 29 call to signal any optimization of AI infrastructure spending, even modest optimization framed in positive language about efficiency gains, the market will reprice NVDA's forward revenue expectations immediately.",positive,n/a,if,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-016,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,bear_researcher,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:bear_researcher:investment_debate_state.bear_history:claim:93,92,"If Microsoft's board decides to slow AI infrastructure spending by 20% for two quarters, AMD sees order cancellations, not revenue.",neutral,n/a,if,AI CapEx,AI Infrastructure,AI CapEx,AI Infrastructure,OVERLAPPING_FACTOR_ALIASES,N/A,N/A,N/A,CORRECTLY_REJECTED,"Genuine alias overlap: the same text span (e.g. 'AI infrastructure spending') matches 2-3 canonical factors' alias lists at once (AI CapEx/'infrastructure spending', Datacenter CapEx/'ai infrastructure spending', AI Infrastructure/'ai infrastructure'). relation_grammar._ambiguous_factors already documents this exact case and correctly abstains rather than guessing which economic concept is meant.",NONE -- does not meet promotion threshold (see report),1,validation
missed-017,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,trader,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:trader:trader_investment_plan:claim:4,3,"The bear's tactical concerns — elevated forward EPS assumptions, post-event selling pressure, and SBC-adjusted FCF — are legitimate enough to argue against maximum aggression ahead of earnings, but do not undermine the medium-to-long-term investment thesis anchored in 38% revenue growth, $12.35B cash, and a premier AI infrastructure positioning.",neutral,n/a,pressure,AI Infrastructure,Revenue Growth,AI Infrastructure,Revenue Growth,NEGATED,N/A,N/A,N/A,CORRECTLY_REJECTED,"Manual review: each instance is either an explicit negation ('does not undermine', 'does not go to $545') or a heavily hedged/conditional debate rebuttal -- none asserts a plain causal or dependency relation between the two mentioned factors.",NONE -- does not meet promotion threshold (see report),1,validation
missed-018,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,aggressive_risk_analyst,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:217,216,"An AI infrastructure company with 37.8 percent revenue growth, expanding gross margins, $7.17 billion in TTM free cash flow, and a five billion dollar anchor customer deal that just received six simultaneous institutional upgrades, if it beats earnings estimates in the eight consecutive quarter of Lisa Su's track record, does not go to $545.",neutral,n/a,if,AI Infrastructure,Revenue Growth,AI Infrastructure,Revenue Growth,NEGATED,N/A,N/A,N/A,CORRECTLY_REJECTED,"Manual review: each instance is either an explicit negation ('does not undermine', 'does not go to $545') or a heavily hedged/conditional debate rebuttal -- none asserts a plain causal or dependency relation between the two mentioned factors.",NONE -- does not meet promotion threshold (see report),1,validation
missed-019,AMD,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1,neutral_risk_analyst,66794ad5-b3a9-4fcc-aa5f-7a6d7957b7c1:neutral_risk_analyst:risk_debate_state.neutral_history:claim:277,276,"But if that ramp shows any hesitation at the quarterly level, the multiple compression in a rate environment with no expected easing is faster and more severe than it would be in an easing cycle.",unknown,n/a,but,Rate Cut Cycle,Valuation Risk,Rate Cut Cycle,Valuation Risk,NEGATED,N/A,N/A,N/A,CORRECTLY_REJECTED,"Manual review: each instance is either an explicit negation ('does not undermine', 'does not go to $545') or a heavily hedged/conditional debate rebuttal -- none asserts a plain causal or dependency relation between the two mentioned factors.",NONE -- does not meet promotion threshold (see report),1,validation
