"semantic_task","development_plan_source","source_classification","current_primary_generator","current_validator","current_fallback","current_production_authority","target_primary_generator","target_validator","target_fallback","target_production_authority","migration_phase","cutover_gate","notes"
"alpha fallback","§5.2 Tier 3 rule fallback","SOURCE_FROZEN","Precomputed deterministic decision retained on LLM absence/failure","Deterministic eligibility and schema checks","No-match","Deterministic fallback","Deterministic rule fallback","Deterministic eligibility and schema checks","No-match","Fallback result with explicit degradation metadata","Phase 2","Fallback identity and reason codes persisted","Must not be conflated with Evidence Stance"
"relation extraction","§5.3 LLM cause-effect extraction with strict JSON and fallback","SOURCE_FROZEN","Merged RULE_EXTRACTED, optional LLM_EXTRACTED, and CANONICAL_BLOCK","Evidence backing, factor vocabulary, direction, type, and schema checks","Rule extraction","Three-source merged relation set","COMQUTOR-owned LLM semantic proposer","Deterministic evidence, vocabulary, direction, schema, lineage, and graph-admission validators","Explicit rule fallback/shadow comparator","Validated COMQUTOR extractor relations","Phase 3 then Phase 4","Extractor shadow quality passes; canonical-edge impact measured before authority removal","CANONICAL_BLOCK is not approved future production authority"
"edge normalization","§5.3 duplicate/synonym merge; §5.4 Graph Builder","SOURCE_FROZEN","Deterministic structure normalization","Canonical vocabulary, synonym, identity, and dedupe rules","Reject or merge","Deterministic normalized edge","Semantic proposer supplies candidate edge","Deterministic normalization/dedupe validator","Reject or merge","Deterministic normalized edge","Phase 3","Normalization invariants and lineage tests pass","Remains deterministic in CURRENT and TARGET"
"edge admission","§5.4 Graph Builder structured graph","SOURCE_FROZEN","Deterministic graph pipeline","Graph admission, lineage, and schema rules","Reject candidate edge","Deterministic Graph Builder","Validated semantic candidate sources","Deterministic Graph Builder admission authority","Reject candidate edge","Admitted deterministic graph edge","Phase 3","Admission and source-lineage regression pass","LLM never directly admits an edge"
"evidence stance","Not in Development Plan v1.0","JOHN_LATER_REQUIREMENT","Deterministic five-way shadow classifier","Enum/reason-code checks","Manual-review/unknown shadow state","No production authority","Not approved; requires Addendum A","Future addendum-defined deterministic validator","Not approved","No production authority until separately approved","Addendum A","John-owned ontology, gold set, thresholds, and rollback approved","CURRENT effect is SHADOW_ONLY"
"ticker specificity","Not in Development Plan v1.0","PROPOSED_EXTENSION","No reliable production classifier; current review field is not discriminative","Ticker consistency diagnostics only","Unknown/not specific","No production authority","Not approved; requires Addendum A","Future addendum-defined validator","Abstain/unknown","No production authority until separately approved","Addendum A","Definition, gold set, ambiguity, and abstention rules approved","Must not be inferred from ticker consistency"
"evidence fact grouping","§3 duplicate-information problem; §5.4 graph merging","SOURCE_FROZEN","Deterministic evidence-fact grouping and claim dedupe","Identity, overlap, provenance, and grouping invariants","Independent claim or rejected grouping","Deterministic grouping","Deterministic grouping","Same deterministic invariants","Independent claim or rejected grouping","Deterministic grouping","Preserved across phases","Regression and source-lineage invariants pass","No LLM authority"
"activation","§5.5 Activation Scorer","SOURCE_FROZEN","Deterministic activation scorer and qualification ceiling","Score component, bounds, identity, and evidence checks","Inactive/qualified bounded result","Deterministic activation","Deterministic activation scorer","Same deterministic validators","Explicit insufficient-evidence state","Deterministic activation","Preserved across phases","No score delta outside approved semantic-input cutover","Semantic inputs may change only through measured cutovers"
"exposure","§5.7 Exposure Engine","SOURCE_FROZEN","Deterministic formula core; production wiring scope remains separately audited","Numeric/schema/taxonomy checks","Static seed or unavailable","Deterministic where invoked","Deterministic exposure calculation","Same deterministic validators","Explicit seed/unavailable state","Deterministic exposure","Future approved exposure phase","Product-owned seed/data and integration gate","No LLM authority"
"conflict","§5.6 Conflict Detector","SOURCE_FROZEN","Deterministic pair registry, admission, scoring, and main-conflict arbitration","Taxonomy pair, activation, evidence, identity, and score checks","No admitted conflict","Deterministic conflict engine","Deterministic conflict engine over validated semantic artifacts","Same deterministic authorities plus future approved evidence membership","No admitted conflict","Deterministic conflict","Phase 5 for B2 changes","Addendum A and Phase 5 evidence-admissibility acceptance","Evidence Stance does not currently gate Conflict"
"replay semantics","Not fully specified in v1.0; Provider-zero modes frozen by ADR-003","APPROVED_PROJECT_DECISION","Raw-output rebuild with llm_gateway=None","Source hash/identity/completeness checks","Deterministic fallback rebuild","RAW_REBUILD_DIAGNOSTIC-like result","Persisted validated semantics for exact mode; raw output plus named parser for diagnostic mode","Deterministic mode, artifact, identity, hash, and completeness validator","Explicit fail or named degradation","EXACT_SEMANTIC_REPLAY or RAW_REBUILD_DIAGNOSTIC as declared","Phase 0.6","Semantic artifact contract complete; replay_mode explicit; Provider/DB calls remain zero","Current exact semantic reproducibility is PARTIAL"
