ticker,alpha_id,alpha_name,historical_mapping,exposure_band,mapping_confidence,status,ticker_basis,primary_source_basis,effective_date
MSFT,A003,Liquidity Expansion,0.60,moderate,0.75,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A101,AI Expansion,0.75,strong,0.85,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A102,Inference Explosion,0.90,defining,0.85,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A103,AI Infrastructure,0.85,strong,0.85,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A201,Semiconductor Supercycle,0.35,indirect,0.85,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A301,Revenue Expansion,0.85,strong,0.80,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A304,Multiple Compression,0.65,moderate,0.75,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A501,Recession Risk,0.40,indirect,0.75,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
MSFT,A601,Narrative Momentum,0.75,strong,0.75,draft,"Azure, AI platform services and Copilot create strong inference and infrastructure exposure; semiconductor exposure is indirect.",Microsoft FY2025 Annual Report,2026-07-31
GOOGL,A001,Rate Cut Cycle,0.55,moderate,0.75,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A003,Liquidity Expansion,0.60,moderate,0.75,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A101,AI Expansion,0.80,strong,0.85,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A102,Inference Explosion,0.90,defining,0.85,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A103,AI Infrastructure,0.85,strong,0.85,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A201,Semiconductor Supercycle,0.40,indirect,0.85,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A301,Revenue Expansion,0.80,strong,0.80,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A304,Multiple Compression,0.60,moderate,0.75,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A501,Recession Risk,0.45,indirect,0.75,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
GOOGL,A601,Narrative Momentum,0.75,strong,0.75,draft,"Full-stack AI, TPUs/GPUs, Google Cloud and product-scale inference; advertising adds recession sensitivity.",Alphabet FY2025 Form 10-K and investor disclosures,2026-07-31
AMZN,A001,Rate Cut Cycle,0.50,indirect,0.75,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A003,Liquidity Expansion,0.55,moderate,0.75,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A101,AI Expansion,0.75,strong,0.85,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A102,Inference Explosion,0.85,strong,0.85,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A103,AI Infrastructure,0.90,defining,0.85,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A201,Semiconductor Supercycle,0.35,indirect,0.85,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A301,Revenue Expansion,0.80,strong,0.80,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A304,Multiple Compression,0.60,moderate,0.75,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A501,Recession Risk,0.55,moderate,0.75,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AMZN,A601,Narrative Momentum,0.65,moderate,0.75,draft,AWS training/inference chips and data-center buildout create high infrastructure exposure; retail increases recession sensitivity.,Amazon FY2025 Form 10-K and AWS official AI infrastructure materials,2026-07-31
AVGO,A001,Rate Cut Cycle,0.50,indirect,0.75,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A003,Liquidity Expansion,0.65,moderate,0.75,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A101,AI Expansion,0.90,defining,0.85,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A102,Inference Explosion,0.85,strong,0.85,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A103,AI Infrastructure,0.95,defining,0.85,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A201,Semiconductor Supercycle,0.90,defining,0.85,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A301,Revenue Expansion,0.85,strong,0.80,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A304,Multiple Compression,0.75,strong,0.75,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A501,Recession Risk,0.50,indirect,0.75,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
AVGO,A601,Narrative Momentum,0.85,strong,0.75,draft,"Custom AI accelerators, AI networking and infrastructure software create direct AI-infrastructure and semiconductor-cycle exposure.",Broadcom FY2025 Form 10-K and FY2025 results,2026-07-31
TSM,A001,Rate Cut Cycle,0.45,indirect,0.75,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A003,Liquidity Expansion,0.60,moderate,0.75,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A101,AI Expansion,0.85,strong,0.85,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A102,Inference Explosion,0.80,strong,0.85,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A103,AI Infrastructure,0.65,moderate,0.85,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A201,Semiconductor Supercycle,0.95,defining,0.85,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A301,Revenue Expansion,0.85,strong,0.80,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A304,Multiple Compression,0.55,moderate,0.75,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A501,Recession Risk,0.65,moderate,0.75,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
TSM,A601,Narrative Momentum,0.65,moderate,0.75,draft,Leading-edge foundry and advanced packaging serving AI/HPC demand; strongest semiconductor-cycle exposure.,TSMC 2025 Annual Report,2026-07-31
SMCI,A001,Rate Cut Cycle,0.55,moderate,0.75,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A003,Liquidity Expansion,0.70,moderate,0.75,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A101,AI Expansion,0.75,strong,0.85,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A102,Inference Explosion,0.80,strong,0.85,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A103,AI Infrastructure,0.95,defining,0.85,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A201,Semiconductor Supercycle,0.70,moderate,0.85,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A301,Revenue Expansion,0.85,strong,0.80,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A304,Multiple Compression,0.85,strong,0.75,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A501,Recession Risk,0.60,moderate,0.75,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
SMCI,A601,Narrative Momentum,0.95,defining,0.75,draft,"AI servers, racks, storage and liquid cooling create defining AI-infrastructure exposure and high narrative/valuation sensitivity.",Supermicro FY2025 Form 10-K and official product disclosures,2026-07-31
QQQ,A001,Rate Cut Cycle,0.80,strong,0.67,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A003,Liquidity Expansion,0.75,strong,0.67,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A101,AI Expansion,0.60,moderate,0.77,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A102,Inference Explosion,0.55,moderate,0.77,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A103,AI Infrastructure,0.60,moderate,0.77,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A201,Semiconductor Supercycle,0.50,indirect,0.77,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A301,Revenue Expansion,0.70,moderate,0.72,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A304,Multiple Compression,0.70,moderate,0.67,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A501,Recession Risk,0.65,moderate,0.67,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
QQQ,A601,Narrative Momentum,0.75,strong,0.67,draft,"Nasdaq-100 growth-heavy ETF with large AI/platform/semiconductor weights; strong rate, liquidity and valuation sensitivity.",Invesco QQQ official product/holdings information,2026-07-31
SPY,A001,Rate Cut Cycle,0.55,moderate,0.67,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A003,Liquidity Expansion,0.60,moderate,0.67,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A101,AI Expansion,0.35,indirect,0.77,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A102,Inference Explosion,0.30,indirect,0.77,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A103,AI Infrastructure,0.35,indirect,0.77,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A201,Semiconductor Supercycle,0.35,indirect,0.77,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A301,Revenue Expansion,0.65,moderate,0.72,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A304,Multiple Compression,0.45,indirect,0.67,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A501,Recession Risk,0.80,strong,0.67,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SPY,A601,Narrative Momentum,0.50,indirect,0.67,draft,Broad U.S. equity index; diversified AI exposure but high economy-wide recession and revenue-cycle sensitivity.,State Street SPY official product/holdings information,2026-07-31
SNDK,A001,Rate Cut Cycle,0.45,indirect,0.60,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A003,Liquidity Expansion,0.55,moderate,0.60,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A101,AI Expansion,0.35,indirect,0.70,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A102,Inference Explosion,0.25,weak,0.70,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A103,AI Infrastructure,0.45,indirect,0.70,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A201,Semiconductor Supercycle,0.80,strong,0.70,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A301,Revenue Expansion,0.70,moderate,0.65,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A304,Multiple Compression,0.75,strong,0.60,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A501,Recession Risk,0.60,moderate,0.60,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
SNDK,A601,Narrative Momentum,0.60,moderate,0.60,draft,Storage/semiconductor-cycle company with indirect AI data-center exposure; included specifically to constrain AI over-triggering.,John's original review example plus sector/business-model judgment; requires filing-level review before approval,2026-07-31
