sample_id,sampling_version,run_id,source_run_id,replay_run_id,ticker,analysis_date,claim_id,source_agent_output_id,agent,claim,evidence,target_alpha_id,target_alpha_name,matched_alpha_id,matched_alpha_name,match_status,match_score,relation,direction,assertion_status,semantic_polarity,claim_quality,ticker_specific,evidence_stance,counter_alpha_id,stance_reason_codes,stance_confidence_band,requires_manual_review,evidence_fact_group_ids,fact_group_member_count,duplicate_or_paraphrase_member,used_in_activation,activation_score,used_in_conflict,conflict_ids,conflict_side,reviewer_expected_stance,reviewer_counter_alpha_id,reviewer_should_be_admissible,reviewer_confidence,reviewer_notes,review_status
evrs-011,evidence_review_sample.v1,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,e434f80b-e4d0-4b09-9471-d84532659de5,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,NVDA,2026-07-30,e434f80b-e4d0-4b09-9471-d84532659de5:news_agent:news_report:claim:58,e434f80b-e4d0-4b09-9471-d84532659de5:news_agent:news_report,news_agent,Theme: Hyperscaler AI CapEx; Evidence: Microsoft $41B AI spend; Azure growth accelerated; Implication for NVDA: Bullish — validates GPU demand engine,Theme: Hyperscaler AI CapEx; Evidence: Microsoft $41B AI spend; Azure growth accelerated; Implication for NVDA: Bullish — validates GPU demand engine,A101,AI Expansion,A301,Revenue Expansion,matched,0.8204,activation,positive,asserted,activation,analytical,true,mentions_alpha,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,852f972622a519c2195f8234,1,false,true,69.8928,true,,,,,,,,pending
evrs-012,evidence_review_sample.v1,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,e434f80b-e4d0-4b09-9471-d84532659de5,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,NVDA,2026-07-30,e434f80b-e4d0-4b09-9471-d84532659de5:news_agent:news_report:claim:32,e434f80b-e4d0-4b09-9471-d84532659de5:news_agent:news_report,news_agent,"US recession risk is low (12%), which is supportive for risk assets and NVDA's growth outlook.","US recession risk is low (12%), which is supportive for risk assets and NVDA's growth outlook.",A501,Recession Risk,A501,Recession Risk,matched,0.8438,risk_relief,positive,asserted,risk_relief,analytical,true,opposes_alpha,,RISK_RELIEF_OPPOSES_RISK_ALPHA,high,false,,0,false,false,18.8373,false,,,,,,,,pending
evrs-013,evidence_review_sample.v1,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,SNDK,2026-07-27,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:news_agent:news_report:claim:60,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:news_agent:news_report,news_agent,AI demand narrative increasingly contested and subject to sentiment shifts,AI demand narrative increasingly contested and subject to sentiment shifts,A101,AI Expansion,A601,Narrative Momentum,matched,0.5673,activation,positive,asserted,activation,analytical,true,mentions_alpha,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,41aca6d010ebc88fb2236523,1,false,true,0.0,true,,,,,,,,pending
evrs-014,evidence_review_sample.v1,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,e434f80b-e4d0-4b09-9471-d84532659de5,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,NVDA,2026-07-30,e434f80b-e4d0-4b09-9471-d84532659de5:aggressive_risk_analyst:risk_debate_state.aggressive_history:claim:23,e434f80b-e4d0-4b09-9471-d84532659de5:aggressive_risk_analyst:risk_debate_state.aggressive_history,aggressive_risk_analyst,"The ""valuation risk"" argument is a lazy heuristic that ignores the actual numbers.","The ""valuation risk"" argument is a lazy heuristic that ignores the actual numbers.",A304,Multiple Compression,A304,Multiple Compression,matched,0.5961,activation,negative,asserted,activation,analytical,true,opposes_alpha,,EXPLICIT_REBUTTAL_OF_TARGET_ALPHA,high,false,6311d5467779218e58ec3a36,6,true,true,50.2356,true,A301__A304|A101__A304|A304__A601,bear,,,,,,pending
evrs-015,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:conservative_risk_analyst:risk_debate_state.conservative_history:claim:27,a364e0ee-3bb4-4032-88b7-5cd82e379805:conservative_risk_analyst:risk_debate_state.conservative_history,conservative_risk_analyst,"The fundamental report explicitly flags this as a ""Valuation Risk"" factor, noting the fund is ""priced for perfection, leaving limited margin for error if earnings disappoint."" The market research report itself is split on this issue, with some analysts arguing earnings are catching up, while Michael Burry is placing fresh downside bets on Nvidia and Micron.","The fundamental report explicitly flags this as a ""Valuation Risk"" factor, noting the fund is ""priced for perfection, leaving limited margin for error if earnings disappoint."" The market research report itself is split on this issue, with some analysts arguing earnings are catching up, while Michael Burry is placing fresh downside bets on Nvidia and Micron.",A304,Multiple Compression,A304,Multiple Compression,matched,0.7184,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,2356bdad996fd10ef0e50244,4,true,true,64.7282,true,A301__A304|A304__A601,bear,,,,,,pending
evrs-016,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:sentiment_agent:sentiment_report:claim:60,a364e0ee-3bb4-4032-88b7-5cd82e379805:sentiment_agent:sentiment_report,sentiment_agent,"AI CapEx / AI Infrastructure boom (bullish): Microsoft's blockbuster cloud quarter is the week's defining positive catalyst, reinforcing the ""AI spending boom remains alive"" narrative.","AI CapEx / AI Infrastructure boom (bullish): Microsoft's blockbuster cloud quarter is the week's defining positive catalyst, reinforcing the ""AI spending boom remains alive"" narrative.",A103,AI Infrastructure,A601,Narrative Momentum,matched,0.8461,activation,positive,asserted,activation,analytical,true,mentions_alpha,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,4c72a25cf5070be69ddd7c10,1,false,true,33.9382,true,,,,,,,,pending
evrs-017,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report:claim:79,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report,fundamental_agent,The primary fundamental risks are Valuation Risk (priced for perfection) and Recession Risk (growth names are most vulnerable to economic slowdowns).,The primary fundamental risks are Valuation Risk (priced for perfection) and Recession Risk (growth names are most vulnerable to economic slowdowns).,A304,Multiple Compression,A501,Recession Risk,matched,0.7884,activation,negative,asserted,activation,analytical,true,mentions_alpha,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,249e4c67447e22f800f0ab1b,1,false,true,64.7282,true,,,,,,,,pending
evrs-018,evidence_review_sample.v1,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,SNDK,2026-07-27,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:news_agent:news_report:claim:72,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:news_agent:news_report,news_agent,Category: Recession Risk; Data Point: 12% US recession probability by end of 2026; Signal: 🟢 Mildly Positive; Implication for SNDK: Low recession risk supports demand environment,Category: Recession Risk; Data Point: 12% US recession probability by end of 2026; Signal: 🟢 Mildly Positive; Implication for SNDK: Low recession risk supports demand environment,A501,Recession Risk,A501,Recession Risk,matched,0.8438,risk_relief,positive,asserted,risk_relief,analytical,true,opposes_alpha,,RISK_RELIEF_OPPOSES_RISK_ALPHA,high,false,,0,false,false,37.6588,false,,,,,,,,pending
evrs-019,evidence_review_sample.v1,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,TSM,2026-08-03,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:bear_researcher:investment_debate_state.bear_history:claim:56,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:bear_researcher:investment_debate_state.bear_history,bear_researcher,The risk of a multiple compression is far greater than the potential for multiple expansion.,The risk of a multiple compression is far greater than the potential for multiple expansion.,A304,Multiple Compression,A304,Multiple Compression,matched,0.7476,risk_relief,positive,asserted,risk_relief,analytical,true,opposes_alpha,,RISK_RELIEF_OPPOSES_RISK_ALPHA,high,false,,0,false,false,42.0762,false,,,,,,,,pending
evrs-020,evidence_review_sample.v1,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,TSM,2026-08-03,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:sentiment_agent:sentiment_report:claim:59,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:sentiment_agent:sentiment_report,sentiment_agent,Valuation risk if the 335% run has priced in expectations (though sources call it reasonable).,Valuation risk if the 335% run has priced in expectations (though sources call it reasonable).,A304,Multiple Compression,A304,Multiple Compression,matched,0.5262,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,756536febd2ecf04cd1e7a65,1,false,true,42.0762,true,A301__A304|A304__A601,bear,,,,,,pending
evrs-021,evidence_review_sample.v1,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,AMD,2026-07-31,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:news_agent:news_report:claim:79,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:news_agent:news_report,news_agent,Factor: Rate Cut Cycle; Status: Hawkish; Evidence: 89% prob of NO 2026 cuts; 19-yr-high yields; Implication for AMD: Negative — headwind for high-multiple growth,Factor: Rate Cut Cycle; Status: Hawkish; Evidence: 89% prob of NO 2026 cuts; 19-yr-high yields; Implication for AMD: Negative — headwind for high-multiple growth,A001,Rate Cut Cycle,A001,Rate Cut Cycle,matched,0.7476,invalidation,negative,asserted,invalidation,analytical,true,opposes_alpha,,INVALIDATION_OF_OPPORTUNITY_ALPHA,high,false,,0,false,false,0.0,false,,,,,,,,pending
evrs-022,evidence_review_sample.v1,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,e434f80b-e4d0-4b09-9471-d84532659de5,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,NVDA,2026-07-30,e434f80b-e4d0-4b09-9471-d84532659de5:sentiment_agent:sentiment_report:claim:13,e434f80b-e4d0-4b09-9471-d84532659de5:sentiment_agent:sentiment_report,sentiment_agent,"Several cite the accelerating AI capex from Microsoft, Meta, and Amazon earnings as confirmation that ""AI capex is accelerating and no signs of slowing down."" There is notable attention on Michael Burry's short position — one user notes he has increased NVDA short exposure and added put positions with December 2026/January 2027 expirations, while another mocks that Burry has been short since November while the stock is up 30%.","Several cite the accelerating AI capex from Microsoft, Meta, and Amazon earnings as confirmation that ""AI capex is accelerating and no signs of slowing down."" There is notable attention on Michael Burry's short position — one user notes he has increased NVDA short exposure and added put positions with December 2026/January 2027 expirations, while another mocks that Burry has been short since November while the stock is up 30%.",A101,AI Expansion,A101,AI Expansion,matched,0.6651,mixed,neutral,mixed,mixed,analytical,true,neutral_background,,MIXED_STANCE_UNRESOLVED,low,true,68680664eb4889bae8cffd10,1,false,true,69.8928,true,A101__A304,bull,,,,,,pending
evrs-023,evidence_review_sample.v1,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,a364e0ee-3bb4-4032-88b7-5cd82e379805,review-sample-a364e0ee-3bb4-4032-88b7-5cd82e379805,QQQ,2026-07-31,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report:claim:80,a364e0ee-3bb4-4032-88b7-5cd82e379805:fundamental_agent:fundamentals_report,fundamental_agent,"The primary fundamental supports are AI CapEx / Datacenter CapEx and Semiconductor Cycle strength driving Revenue Growth among top holdings, alongside potential Rate Cut Cycle tailwinds and Liquidity Expansion supporting the premium multiple.","The primary fundamental supports are AI CapEx / Datacenter CapEx and Semiconductor Cycle strength driving Revenue Growth among top holdings, alongside potential Rate Cut Cycle tailwinds and Liquidity Expansion supporting the premium multiple.",A001,Rate Cut Cycle,A003,Liquidity Expansion,matched,0.7596,activation,positive,asserted,activation,analytical,true,mentions_alpha,,COUNTER_ALPHA_NOT_CANONICAL|INSUFFICIENT_ALPHA_RELATIVE_SEMANTICS,low,true,396fccaca2bfac95681b0f7e,1,false,true,46.4088,true,,,,,,,,pending
evrs-024,evidence_review_sample.v1,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,e434f80b-e4d0-4b09-9471-d84532659de5,review-sample-e434f80b-e4d0-4b09-9471-d84532659de5,NVDA,2026-07-30,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report:claim:90,e434f80b-e4d0-4b09-9471-d84532659de5:fundamental_agent:fundamentals_report,fundamental_agent,Any slowdown in AI spending could trigger significant multiple compression.,Any slowdown in AI spending could trigger significant multiple compression.,A304,Multiple Compression,A304,Multiple Compression,matched,0.6896,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,70463c52b6110955ae23bfe8,1,false,true,50.2356,true,A301__A304|A101__A304|A304__A601,bear,,,,,,pending
evrs-025,evidence_review_sample.v1,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,0cb43bae-1a4d-4003-bb29-55d420498842,review-sample-0cb43bae-1a4d-4003-bb29-55d420498842,MSFT,2026-07-31,0cb43bae-1a4d-4003-bb29-55d420498842:neutral_risk_analyst:risk_debate_state.neutral_history:claim:75,0cb43bae-1a4d-4003-bb29-55d420498842:neutral_risk_analyst:risk_debate_state.neutral_history,neutral_risk_analyst,"If it doesn't, multiple compression is likely regardless of the technical setup.","If it doesn't, multiple compression is likely regardless of the technical setup.",A304,Multiple Compression,A304,Multiple Compression,matched,0.6896,conditional,unknown,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,fef23afcc4f38d5f821fabce,1,false,true,39.7525,true,A301__A304|A304__A601,bear,,,,,,pending
evrs-026,evidence_review_sample.v1,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,review-sample-b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6,AMD,2026-07-31,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:sentiment_agent:sentiment_report:claim:66,b71765a0-1c9f-435a-a5f7-4ce0ea8d28a6:sentiment_agent:sentiment_report,sentiment_agent,The dominant tension is between a strong AI growth narrative and a rich valuation ahead of a high-stakes earnings report.,The dominant tension is between a strong AI growth narrative and a rich valuation ahead of a high-stakes earnings report.,A601,Narrative Momentum,A304,Multiple Compression,matched,0.3923,activation,positive,asserted,activation,analytical,true,supports_counter_alpha,A304,CANONICAL_COUNTER_ALPHA_SUPPORTED,medium,false,83f0970444dc03651e1246ac,5,false,true,45.8413,true,,,,,,,,pending
evrs-027,evidence_review_sample.v1,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,review-sample-183b04dd-aae3-4b33-bbb0-3c9bc3bc942f,SNDK,2026-07-27,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:bull_researcher:investment_debate_state.bull_history:claim:193,183b04dd-aae3-4b33-bbb0-3c9bc3bc942f:bull_researcher:investment_debate_state.bull_history,bull_researcher,"The multiple compression argument proves too much — it would apply equally to every semiconductor company, yet SanDisk's fundamental earnings generation separates it from the pack.","The multiple compression argument proves too much — it would apply equally to every semiconductor company, yet SanDisk's fundamental earnings generation separates it from the pack.",A304,Multiple Compression,A304,Multiple Compression,matched,0.6896,conditional,unknown,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,4bca38d1fff2c79d7e57b672,1,false,true,30.5204,true,A304__A601,bear,,,,,,pending
evrs-028,evidence_review_sample.v1,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,1a338ced-118e-44d2-b3f6-2444bfb9d7e6,review-sample-1a338ced-118e-44d2-b3f6-2444bfb9d7e6,TSM,2026-08-03,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:fundamental_agent:fundamentals_report:claim:70,1a338ced-118e-44d2-b3f6-2444bfb9d7e6:fundamental_agent:fundamentals_report,fundamental_agent,Semiconductor Cyclicality: The industry is inherently cyclical; a downturn in AI demand or a broader economic slowdown could compress earnings.,Semiconductor Cyclicality: The industry is inherently cyclical; a downturn in AI demand or a broader economic slowdown could compress earnings.,A501,Recession Risk,A501,Recession Risk,matched,0.8146,conditional,negative,conditional,activation,analytical,true,supports_alpha,,CONDITIONAL_SUPPORT,medium,true,bd5b1079eeeabd599c5a713a,1,false,true,48.7158,true,A501__A601,bear,,,,,,pending
