component,path,origin,upstream_url_if_recorded,detected_license,license_source,modified,distributed_with_product,runtime_dependency,confidence,obligations_summary,unknowns,recommended_action
python-dotenv,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,BSD-3-Clause,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
pytz,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
questionary,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
redis,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
requests,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,Apache-2.0,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
rich,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
typer,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
setuptools,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
stockstats,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,BSD-3-Clause,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
tqdm,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MPL-2.0 AND MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,File-level weak copyleft (MPL-2.0) on some files; modifications to MPL-2.0-licensed files must be shared under MPL-2.0 if distributed.,,NONE
typing-extensions,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,PSF-2.0,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
yfinance,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,Apache-2.0,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
networkx,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,BSD-3-Clause,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
SQLAlchemy,pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations: preserve copyright/license notice in distributed copies.,,NONE
psycopg[binary],pyproject.toml [project.dependencies],Third-party PyPI package (unmodified),,LGPL-3.0-only,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,"Weak copyleft: generally permits use as an unmodified library dependency without imposing GPL on the whole application, but modifications to psycopg itself would need to be shared; confirm the psycopg[binary] wheel's own bundled libpq licensing separately.",,VERIFY_WITH_COUNSEL_OR_UPSTREAM
langchain-aws,pyproject.toml [project.optional-dependencies] bedrock,"Third-party PyPI package (optional extra, not installed in this environment)",,UNKNOWN,not installed locally -- no metadata available offline,No,Only if [bedrock] extra installed,Only if [bedrock] extra installed,low,,License not verifiable without installing the optional extra.,VERIFY_WITH_COUNSEL_OR_UPSTREAM
ruff,pyproject.toml [project.optional-dependencies] dev,Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,"No (dev-only, not distributed with product)",No,high,Standard permissive-license obligations.,,NONE
pytest,pyproject.toml [project.optional-dependencies] dev,Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,"No (dev-only, not distributed with product)",No,high,Standard permissive-license obligations.,,NONE
pytest-subtests,pyproject.toml [project.optional-dependencies] dev,Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,"No (dev-only, not distributed with product)",No,high,Standard permissive-license obligations.,,NONE
fastapi,pyproject.toml [project.optional-dependencies] api,Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations.,,NONE
pydantic,pyproject.toml [project.optional-dependencies] api,Third-party PyPI package (unmodified),,MIT,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations.,,NONE
uvicorn,pyproject.toml [project.optional-dependencies] api,Third-party PyPI package (unmodified),,BSD-3-Clause,"installed package metadata (importlib.metadata, offline)",No,Yes,Yes,high,Standard permissive-license obligations.,,NONE
react,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,Yes (bundled into frontend/dist by vite build),Yes,high,Standard permissive-license obligations.,,NONE
react-dom,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,Yes (bundled into frontend/dist by vite build),Yes,high,Standard permissive-license obligations.,,NONE
react-router-dom,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,Yes (bundled into frontend/dist by vite build),Yes,high,Standard permissive-license obligations.,,NONE
@eslint/js,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@playwright/test,frontend/package.json,Third-party npm package (unmodified),,Apache-2.0,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@testing-library/jest-dom,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@testing-library/react,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@testing-library/user-event,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@types/node,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@types/react,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@types/react-dom,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
@vitejs/plugin-react,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
eslint,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
eslint-plugin-react-hooks,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
eslint-plugin-react-refresh,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
globals,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
jsdom,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
typescript,frontend/package.json,Third-party npm package (unmodified),,Apache-2.0,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
typescript-eslint,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
vite,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
vitest,frontend/package.json,Third-party npm package (unmodified),,MIT,node_modules/<pkg>/package.json 'license' field (offline),No,No (build/test/lint tooling only),No,high,Standard permissive-license obligations.,,NONE
Generated research run artifacts,"outputs/runs/, outputs/replays/, outputs/evaluations/",Generated at runtime by this product,,"N/A (data, not licensed third-party code)",N/A,N/A,No (gitignored/local),No,high,"May contain data derived from TradingAgents/LLM-provider output -- subject to each Provider's own output-usage terms, not a code license.",,NONE
Documentation (docs/),docs/,Original COMQUTOR documentation,,Apache-2.0 (repo LICENSE),LICENSE (repo root),N/A (original),Yes,No,high,Same as root Apache-2.0.,,NONE
"Test fixtures (tests/fixtures, scripts/w5_demo_fixtures.py)","tests/, scripts/",Original COMQUTOR test data,,Apache-2.0 (repo LICENSE),LICENSE (repo root),N/A (original),No (dev/test only),No,high,Same as root Apache-2.0.,,NONE
Provider integrations (LangChain wrapper clients),tradingagents/llm_clients/,Modified TradingAgents upstream files (COMQUTOR/DeepSeek references added),https://github.com/TauricResearch/TradingAgents.git,Apache-2.0 (repo LICENSE),LICENSE (repo root),Yes (see license_boundary_report.md for the modified-file list),Yes,Yes,medium,Apache-2.0 obligations plus each wrapped Provider SDK's (langchain-openai/-anthropic/-google-genai) own license (see backend dependency rows above).,,VERIFY_WITH_COUNSEL_OR_UPSTREAM
